8112511	bamshad mobasher (1997) data and knowledge querying, next: usability analysis up: analysis of discovered previous: olap techniques, http://maya.cs.edpaul.edu/-mobasher/webminerlsurvey/node21.html, pp. 1. cited by other.
5682384	montgomery ""techniques for packet voice synchronization"", ieee journal for selected areas in communications, no. 6, pp. 1022-1027, dec. 1983..
re44566	author unknown, ""trintex assist."", doc. page identifier(s):prgy 1844-1851, apr. 27, 1987. cited by applicant.
9745361	mentink-kane et al. ""opposing roles for il-13 and il-13 receptor.alpha.2 in health and disease"" immunological reviews 202(1):191-202 (2004) (abstract only). cited by applicant.
3991010	kosolapoff, ""organophosphorus compounds,"" 1950, pp. 139, 140 and 155.."
9344211	alexiou et al., ""downlink capacity enhancement by employing sdma in gsm,"" sensor array and multichannel signal processing workshop, 2000, proceedings of the 2000 ieee, pp. 413-417, mar. 16-17, 2000, 5 pgs. cited by applicant.
8070481	honeywell, ""vk41..r/vk81..r series, gas controls with integrated gas/air module for combined valve and ignition system,"" instruction sheet, 6 pages, prior to oct. 18, 2006. cited by other.
7767220	baier, r.e., meenaghan, m.a., hartman, l.c., wirth, j.e., flynn, h.e., meyer, a.e., natiella, j.r., carter, j.m., ""implant surface characteristics and tissue interaction"", journal oral implantol, vol. 13 i4, pp. 594-606, 1988. cited by other.
8435973	nussbaumer et al., ""steroid sulfatase inhibitors"", expert opin. ther. patents, 2003, vol. 13, no. 5, pp. 605-625. cited by applicant.
6675146	boucqueau et al., ""equitable conditional access and copyright protection for image based on trusted third parties, teleservices & multimedia communications,"" 2nd int. cost 237 workshop, second international cost 237 workshop, nov., 1995; published 1996, pp. 229-243..
